,topic_name,section,subsection,text
287,2023 Union Square riot,Injuries,,"At least nine people were injured according to the NYPD. Four victims were transferred to Mount Sinai Beth Israel, while two others were transferred to Lenox Hill Hospital. Three officers were injured, including the NYPD chief Jeffrey Maddrey. According to Maddrey, several people exited the crowd bleeding and with panic attacks. One officer was reportedly severely beaten. A witness reported not being able to breathe. Maddrey also reported that a 17-year-old was wounded by a large firecracker."
288,2023 Union Square riot,Aftermath,,"At approximately 5:00 p.m., Cenat was taken into police custody. The NYPD charged him with inciting a riot and unlawful assembly. According to Maddrey, police ""loaded up a city bus"" with people; at least 65 people at the event were arrested, including 30 juveniles. The bus was attacked by other people attempting to pull people off. In a press conference, Maddrey claimed that multiple police cars and food carts had been destroyed. The incident polarized Internet users and became an Internet meme. Rapper Offset criticized the police for arresting Cenat. A video spread on social media depicted two police officers smashing a man in a red sweatshirt's head into a taxi window. The Civilian Complaint Review Board is currently looking into four incidents, including the altercation with the man in the red sweatshirt. An NYPD investigation is ongoing.Kai Cenat appeared in court on August 16, following his release from police custody on August 5. He appeared in court again on August 18."
289,2023 Union Square riot,Response,,"At a press conference, Maddrey stated, ""When I go back later on this evening, I will have an after-action determine exactly what our steps were. We can't allow this to happen again in the future"". New York City mayor Eric Adams praised police for their ""quick work"" in dispersing the crowd.In a statement on August 5, streaming group AMP apologized for the riot. In his first appearance since the riot, Cenat held up a New York Daily News issue covering the riot and apologized in a livestream on August 9, while also announcing that he would take a break from livestreaming. He resumed streaming by September 16, where he sparked a cheating controversy between Offset and his wife Cardi B."
290,2023 Union Square riot,Analysis,,"The incident generated discourse about the implications surrounding the influence of internet personalities. Following the event, Adams stated in a press briefing that ""children cannot be raised by social media"", while researcher Megan Moreno stated in an NPR interview that the incident ""does speak to how much investment people can place within these parasocial relationships"". In a Wired article comparing the event to similar Internet-based incidents, University of Sydney lecturer Mark Johnson offered a similar viewpoint about the role of social media, such as the interactivity of Twitch, on the relationships between streamers and their fans. Johnson also described the occurrence as an example of ""emergent behavior"", where internet users transition from interacting online to entering the real world. The article also claimed that Cenat was the ""first Twitch streamer to be charged with inciting a riot"". Writing for The Wall Street Journal, journalist James Freeman wrote that Cenat had the opportunity to mend relations with police."
291,2023 Writers Guild of America strike,Summary,,"From May 2 to September 27, 2023, the Writers Guild of America (WGA)—representing 11,500 screenwriters—went on strike over a labor dispute with the Alliance of Motion Picture and Television Producers (AMPTP). The 148-day strike was the longest interruption to American film and television production since the COVID-19 pandemic, as well as the second longest labor stoppage that the WGA has performed since the strike of 1988, which lasted for 153 days. Along with the 2023 SAG-AFTRA strike, which continued until November 9 at 12:01 a.m. PDT., it was part of a series of broader Hollywood labor disputes.
The lack of ongoing film and television productions resulted in some studios having to close doors or reduce staff. The strike also jeopardized long-term contracts created during the media streaming boom: big studios could terminate production deals with writers through force majeure clauses after 90 days, saving them millions of dollars. In addition, numerous other areas within the global entertainment ecosystem were impacted by the strike action, including the VFX industry and prop making studios. Following a tentative agreement, union leadership voted to end the strike on September 27, 2023. On October 9, the WGA membership officially ratified the contract with 99% of WGA members voting in favor of it. Its combined impact with the 2023 SAG-AFTRA strike resulted in the loss of 45,000 jobs, and ""an estimated $6.5 billion"" loss to the economy of Southern California."
292,2023 Writers Guild of America strike,Issues in the strike,,"One of the main focus points in the labor dispute is the residuals from streaming media; the WGA claims that AMPTP's share of such residuals has cut much of the writers' average incomes compared to a decade ago. Writers also wanted artificial intelligence, such as ChatGPT, to be used only as a tool that can help with research or facilitate script ideas and not as a tool to replace them. The COVID-19 pandemic and its aftermath saw major reductions in the workforce and cancellations of multiple film and television productions to save money on basic residuals and music licensing costs, though Apple and Amazon remained outliers. The ensuing fall of ""Peak TV"" created worsening conditions for writers, as well as actors.On May 2, 2020, the latest Minimum Basic Agreement (MBA) became the collective bargaining agreement that covered most of the work done by WGA writers. The Minimum Basic Agreement was an agreement that established a minimum wage for television and film writers. In television, the Minimum Basic Agreement only applied to those who wrote for broadcast television shows and not for streaming television. This was very clear when comparing late-night talk shows that were produced for broadcast television, such as The Late Show with Stephen Colbert by CBS, versus The Problem with Jon Stewart, produced for streaming by Apple TV+. The writers who worked for The Problem were not covered by the MBA and therefore had to negotiate individually with the streaming company for their pay, and as a result, they were paid less than writers who wrote for The Late Show while doing the same amount of work. This pattern held true with other shows in the two categories. The MBA expired on May 1, 2023.The WGA estimated that its proposals would yield writers about US$429 million a year, whereas the AMPTP's offer would yield $86 million.One disputed issue is the Guild wanting requirements for ""mandatory staffing"" and ""duration of employment"" terms to be added to their contract, which would require all shows to be staffed with a minimum number of writers for a minimum amount of time, ""whether needed or not"" per the AMPTP.Another important proposal that the WGA is advocating for is to ensure each member of a writing team receives their own pension and their own health care funds. The AMPTP rejected this proposal and did not offer a counterproposal. At the same time, there was a tentative agreement between the WGA and AMPTP to have 0.5% of negotiated minimums for all WGA minimums shifted into pensions and health funds."
293,2023 Writers Guild of America strike,Timeline of negotiations and strike activity,Apr-23,"On April 18, 2023, 97.85% of members of the Writers Guild of America (WGA) voted to go on strike if they failed to reach a satisfactory agreement with the Alliance of Motion Picture and Television Producers (AMPTP), which represents the major film and television studios in Hollywood, by May 1. The AMPTP engaged in lengthy negotiations with the WGA on behalf of Amazon Studios (as well as MGM Holdings), Apple Studios, Lionsgate, NBCUniversal, Netflix, Paramount Global, Sony Pictures, the Walt Disney Company, and Warner Bros. Discovery (WBD), but failed to reach a deal before the mandated deadline."
294,2023 Writers Guild of America strike,Timeline of negotiations and strike activity,May-23,"As a result, the leadership of the Writers Guild of America, West (WGAW) and Writers Guild of America, East (WGAE) unanimously approved a strike on the eve of May 2, the first of its kind since the 2007–2008 strike fifteen years prior.The Hollywood Reporter reported that the WGA had set some prospective rules for writers during the strike. The Writers Guild stated that ""writers cannot do any writing, revising, pitching, or discussing future projects with companies that are members of the AMPTP.""The Writers Guild also stated that fiction podcasts that are produced by companies against which the Guild and its members are striking must stop production. The Guild said that they hoped that writers of animated series not covered by the Writers Guild but by the Animation Guild would seek advice from the Writers Guild on whether or not their work as a writer was counter to the activities of the strike and, if so, to cease such work for the duration of the strike. The Guild noted that while they cannot punish non-Guild writers who write for companies against which the union is striking, they promise to bar such writers from future Guild membership.The WGA instructed members to begin picketing on May 2, 2023, at 1:00 p.m. PDT.  Some places that the WGA has picketed include AMC Networks, Amazon/Culver Studios, MGM, CBS Radford, CBS Television City, Disney, 20th Century Studios, Lionsgate, Starz, Netflix, Paramount, MTV, Sony, Universal, Warner Bros. (including its Burbank division), 30 Rock/NBCUniversal, Broadway Stages, HBO, Silvercup Studios, Steiner Studios, Warner Bros. Discovery, and Warner Bros. Discovery Upfront.During the strike, the WGA instructed writers facing financial hardship due to the strike to apply to the Entertainment Community Fund. The Entertainment Community Fund helps people in the entertainment industry with financial trouble find affordable housing and maintain health care and senior care coverage. On May 10, 2023, it was reported that writers had pledged $1.7 million to the Entertainment Community Fund. Among the prominent donors were showrunners and producers J. J. Abrams, Greg Berlanti, Adam McKay, Ryan Murphy, Shonda Rhimes, Michael Schur, and John Wells."
295,2023 Writers Guild of America strike,Timeline of negotiations and strike activity,Jun-23,"On June 7 and 8, 2023, picketing in the Northeast (namely in New York) was paused due to poor air quality from the 2023 Canadian wildfires. Strike activity resumed on the 9th when air quality improved.On June 9, 2023, Lionsgate suspended BMF line producer Ian Woolf following an altercation with striking writers who were picketing outside of BMF's production headquarters. According to first-hand accounts from writers Gabriel Alejandro Garza and Tom Smuts, Woolf attempted to intimidate Garza and Brian Egeston, who were picketing on the sidewalk next to the studio's entrance, by accelerating his car towards them and stopping just short of hitting them. After first claiming that he did not see them, Woolf later admitted to trying to scare them. According to Smuts, Woolf later unsuccessfully tried to convince Teamsters Local 728 to cross picket lines, but they refused. Lionsgate released a statement saying, ""We take acts of intimidation and threats of violence seriously and investigate them thoroughly... As we continue to investigate, we have sent home the individual involved."" The WGA also released a statement, which read, ""Workers should not be threatened with physical harm when exercising their right to publicly protest and picket against unfair wages and working conditions."""
296,2023 Writers Guild of America strike,Timeline of negotiations and strike activity,Jul-23,"On July 12, 2023, Deadline Hollywood reported that the AMPTP and the major Hollywood studios did not plan to return to negotiations with the WGA until late October 2023 at the earliest. The studio executives who anonymously spoke with Deadline stated that by October, many writers would be financially strained to the point where they would lose their housing, which they believed would allow them to be in a better position to dictate the terms of any new deal. Representatives for the AMPTP distanced themselves from the anonymous sources, claiming they remained committed to signing a deal as soon as possible."
297,2023 Writers Guild of America strike,Timeline of negotiations and strike activity,Aug-23,"On August 1, 2023, the WGA announced that it would meet with the AMPTP on the following Friday to discuss negotiations regarding the strike. The location of the meeting was not disclosed. A spokesman for the AMPTP, speaking in relation to the strikes of the WGA and SAG-AFTRA, said, ""we remain committed to finding a path to mutually beneficial deals with both unions."" Both parties met on August 4, 2023, but no agreement was reached.On August 10, 2023, the AMPTP and the WGA agreed to resume contract negotiations, with the first meeting set for August 11. After that meeting, the Writers Guild sent a note to its 11,500 members saying the AMPTP had indicated a willingness to make concessions in some areas, including finding ways to safeguard writers from artificial intelligence technology. The note added, however, that the AMPTP had said studios ""were not willing to engage"" on other Writers Guild proposals, including success-based residual payments from streaming services. The note said guild leaders would not return to negotiations until studios were willing to engage on all proposals. However, the WGA sent a message to members that evening saying that they had received a counterproposal and were evaluating it.On August 21, 2023, picketing was canceled in Los Angeles due to Hurricane Hilary. The union, meanwhile, remained relatively silent beyond the message of August 18, 2023: ""Everybody is trying to step up and make a resolution,"" one executive told THR. ""There's more positive momentum this week than last."" On August 22, 2023, AMPTP presented a proposal suggesting rules for AI content, but talks between the studios and the writers remained at a stalemate until late September. On August 30, California State Treasurer Fiona Ma sent letters to Netflix, The Walt Disney Company, Comcast, Warner Bros. Discovery, Apple Inc., Paramount Global and Amazon, telling them to return to negotiations and settle the strikes. She states that the impact of the strikes ""paralyzes Hollywood and reverberates across the state, affecting countless businesses, thousands of pension fund beneficiaries, and millions of Californians."""
298,2023 Writers Guild of America strike,Timeline of negotiations and strike activity,Sep-23,"On September 6, Warner Bros. suspended deals with Mindy Kaling, J. J. Abrams, Greg Berlanti, and Bill Lawrence. It had announced the day before that the strikes would impact its 2023 earnings by $500 million.On September 8, the WGA released a statement claiming that there are member companies that have shown a ""desire and willingness to negotiate an agreement that adequately addresses writers' issues... [and who] have said they are willing to negotiate on proposals that the AMPTP has presented to the public as deal breakers,"" and that they have asked them to leave the AMPTP in order to negotiate independently with the WGA. A few hours later, the AMPTP released a statement refuting that claim, saying, ""The AMPTP member companies are aligned and are negotiating together to reach a resolution. Any suggestion to the contrary is false.""On September 11, 2023, The Drew Barrymore Show resumed episodes without writers and was picketed by guild members. Two audience members were turned away for wearing WGA pins. Barrymore would be removed as host of the upcoming 74th National Book Awards the following day. On September 17, Barrymore changed her decision and announced that the show would remain on hiatus while the strike was ongoing.On September 12, in an interview with TheWrap, a studio executive said that ""the showrunners are quite pissed [...] they are mad at the guilds and feel that they are not responding to the studios' offer. Now even the higher-paid members of the guild are expressing concern over the inability to end the strike."" In addition, while there were plans for a meeting between the WGA and top showrunners on September 15, the meeting was cancelled on that day due to plans for an upcoming meeting between the WGA and AMPTP the following week.On September 13, American comedian and political commentator Bill Maher announced on Twitter that he will resume production of his show Real Time with Bill Maher. However, on September 18, Maher changed his mind, stating: ""My decision to return to work was made when it seemed nothing was happening and there was no end in sight to this strike. Now that both sides have agreed to go back to the negotiating table I'm going to delay the return of Real Time, for now, and hope they can finally get this done."" Earlier in September, he suggested that the Governor of California Gavin Newsom should help end the strike.On September 14, the AMPTP said that the WGA met with them the previous day and agreed to restart negotiations the following week. A few minutes after the news, the WGA confirmed this. Four days later, it was announced that the union and studios would resume negotiations on September 20 with studio CEOs Bob Iger (Disney), David Zaslav (Warner Bros. Discovery), Ted Sarandos (Netflix), and Donna Langley (Universal Pictures). This meeting was followed by more meetings on September 21, 22, and 23. Finally, the writers and the studios reached a tentative agreement on September 24, and on September 26, following a vote, the union leadership announced that the strike would officially end. The strike ended on September 27 at 12:01 a.m. PDT."
299,2023 Writers Guild of America strike,Timeline of negotiations and strike activity,Oct-23,"On October 9, the WGA membership officially ratified the deal, with 99% of WGA members voting in favor of the new contract."
300,2023 Writers Guild of America strike,WGA negotiating committee,,"The WGA announced the members of its negotiating committee in November 2022, with David Young as chief negotiator. In February 2023, Ellen Stutzman took over as the chief negotiator of the WGA."
301,2023 Writers Guild of America strike,Productions impacted,,"Many films, television programs, and podcasts have been affected by the strike; some have continued production without writers, while others have been paused or completely shut down. The projects that have been unaffected either were already written before May 2, are largely unscripted, or rely on non-union staff.Still, other projects with completed scripts have been postponed or canceled due to the union's use of picket lines to disrupt those productions."
302,2023 Writers Guild of America strike,Response,Actors during the WGA strike,"SAG-AFTRA president Fran Drescher and executive vice president Ben Whitehair picketed with the WGA in May. A significant number of other actors also joined the picket lines or otherwise expressed support for the WGA strike.Drew Barrymore withdrew from hosting the 2023 MTV Movie & TV Awards in support of the WGA strike, and Jennifer Coolidge, Joseph Quinn, and Pedro Pascal expressed support for the strike in their pre-recorded speeches during the ceremony. Seth Meyers spoke in support of the strike during the ""Corrections"" segment on Late Night with Seth Meyers a few days before the strike began. Jeopardy! host Mayim Bialik similarly left during the show's last week of filming (for season 39), though production continued with Ken Jennings as host.  The strike was also discussed at the Cannes Film Festival press conferences, with Sean Penn, Ethan Hawke, Paul Dano, and Kathleen Kennedy expressing their support. Snoop Dogg spoke in support of the strike during a panel at the Milken Institute and drew parallels with payout conflicts between music artists and music streaming platforms. Talk show hosts Stephen Colbert, Jimmy Fallon, Jimmy Kimmel, Seth Meyers, and John Oliver began a podcast called Strike Force Five to support their out-of-work staff during the strike."
303,2023 Writers Guild of America strike,Response,Elected officials,"Several elected officials supported the strike and appeared on their picket lines:

Konstantine Anthony, Mayor of Burbank, California and SAG-AFTRA member
Laura Friedman, member of California's 44th State Assembly district
Adam Schiff, representative from California's 30th congressional district
Joe Biden, President of the United States, who issued a statement applauding the historic deal.Both Mayor of Los Angeles Karen Bass and Governor of California Gavin Newsom offered to help mediate an end to the strikes."
304,2023 Writers Guild of America strike,Response,Other unions,"In a statement made on April 18, 2023, the Directors Guild of America (DGA) president, Lesli Linka Glatter told the members of the Guild that there is nothing the union could do to force members back to work if a WGA strike were to happen. However, she also noted that if DGA members do not perform their ""DGA covered services,"" they could be let go from their current positions.Ahead of the strike, the International Brotherhood of Teamsters Local 399 issued an advisory to members instructing Teamsters not to strike but informing them that they are protected by the Teamsters contract if they refuse to cross picket lines. At a WGA rally on May 3, 2023, Lindsay Dougherty, the leader of Teamsters Local 399, said that while the Teamsters could not strike in solidarity due to a contract in place through 2024, she affirmed that Local 399 would not cross picket lines, saying, ""Every single truck that we know of has not crossed.""On May 2, 2023, The Animation Guild, IATSE Local 839 made a statement of support for the Writers Guild and their strike. Along with this statement, they produced a Question and Answer document to help Animation Guild members figure out how the Writers' Strike impacts their ability to maintain solidarity with the members of the Writers Guild.Ahead of the strike, International Alliance of Theatrical Stage Employees president Mathew Loeb informed its members of their rights to honor a picket line and that in many places their contracts ""expressly"" allow employees to honor lawful picket lines.On April 30, SAG-AFTRA advised its members that while they should continue working on active projects to avoid breach of contract claims, it encouraged members to show solidarity by walking picket lines during non-working hours and posting on social media. The union also advised writers ""You should not write anything normally written by striking WGA writers."""
305,2023 Writers Guild of America strike,Response,Film and television executives,"On May 3, 2023, the second day of the strike, The Walt Disney Company (through its ABC Signature Studios unit) sent a letter written by the studios' Assistant Chief Counsel Bob McPhail on behalf of the executives at Disney to showrunners and all other writer-producers who work for the company, saying that they must report back to work and perform their non-writer duties. Producers are expected to do what are known as ""a through h"" services, like cutting for time, making small changes to dialogue or narration, and ""changes in technical or stage directions.""On May 4, 2023, on the Q1 earnings call for Paramount, CEO Bob Bakish addressed the strike, saying that writers were ""an essential part of creating content"" and that he hoped there could be ""a resolution that works for everyone fairly quickly"". Bakish also stated that the company had been planning for an extended strike and shared that the company's strategy to outlast the writers' strike is to use its large streaming library located within Paramount+, the upcoming summer movie slate, which will move to the streaming service, and productions that will be completed offshore.On July 11, 2023, Deadline Hollywood reported that the Alliance of Motion Picture and Television Producers was seeking to use a ""divide and conquer"" approach among the different Hollywood unions, including the WGA. The article said that the AMPTP would not negotiate with the WGA until October at the earliest and quoted one studio executive as saying, ""The endgame is to allow things to drag on until union members start losing their apartments and losing their houses."" The article and quote received attention and backlash from both Hollywood outlets, such as Entertainment Tonight, and non-Hollywood outlets, such as Vanity Fair and the New York Daily News. When asked about the guild's demands for staffing minimums and guaranteed employment periods, AMPTP president Carol Lombardini responded by saying that ""writers are lucky to have term employment.""AMC Theatres CEO Adam Aron said of the WGA strike that only a prolonged strike lasting many months would impact the theater chain and that most of the movies to be released in 2023 and 2024 have already been written and even filmed.Warner Bros. Discovery CEO and president David Zaslav said that WBD and other Hollywood studios were ""not glad"" that the WGA strike had occurred and that the company was working to resolve the strike and compensate writers fairly."
306,2023 Writers Guild of America strike,Response,Strikebreaking efforts,"During the strike, several celebrities announced a desire to strikebreak by resuming to film or promote amidst ongoing negotiations. However, they all ultimately changed their minds after public backlash.

In July 2023, Canadian actor Stephen Amell said he did not support striking at a fan convention, calling the strike a ""reductive negotiating tactic"" and ""myopic"". Amell apologized for what he said in a Instagram post and attended a New York City picket line.
On September 10, 2023, The Drew Barrymore Show announced it would resume filming. The WGA East condemned the action as violation of the WGA strike rules. Several days later, Drew Barrymore released on apology video on Instagram, saying, ""I deeply apologize to writers. I deeply apologize to unions."" Co-head writer of The Drew Barrymore Show, Chelsea White, one of those who picketed the series on September 12, said that when any production covered under WGA comes back ""during a strike it undermines our whole group effort to come to a fair contract with the AMPTP."" On September 17, Barrymore said that she would be halting production of the show.On September 13, 2023, Bill Maher announced that Real Time with Bill Maher would resume filming. The WGA condemned the action in a statement, stating ""Bill Maher's decision to go back on the air while his Guild is on strike is disappointing. If he goes forward with his plan, he needs to honor more than 'the spirit of the strike'. Bill Maher is obligated as a WGA member to follow the strike rules and not perform any writing services. It is difficult to imagine how Real Time with Bill Maher can go forward without a violation of WGA strike rules taking place. WGA will be picketing this show."" Maher had previously called the demands by the WGA ""kooky."" On September 18, Maher said that he is going ""to delay the return of Real Time, for now."""
307,2023 Writers Guild of America strike,Notes,,
308,Killing of Ta'Kiya Young,Summary,,"On August 24, 2023, Ta'Kiya Young, a 21-year-old pregnant woman, was shot to death by a police officer in Blendon Township, Ohio after she accelerated her vehicle. The shooting occurred after police attempted to question her about alleged shoplifting from a local grocery store."
309,Killing of Ta'Kiya Young,Background,,"Ta'Kiya Young was a 21-year-old mother of two young sons, aged 6 and 3 at the time of her death; she was pregnant with a due date of November 2023. 
Two officers were involved in the shooting; they have not been identified publicly, with Blendon Township citing Marsy's Law, which requires that police withhold the names of victims of violent crimes. Police considered the officer who shot Young a potential victim of attempted vehicular assault, as he was hit by the vehicle. Police considered the other officer a potential victim of misdemeanor assault, as his arm was inside the car window when Young accelerated. Blendon Township Police Department also did not disclose for how many years each officer had worked, as it considered years of service to be an identifying marker due to the department's small size.Ohio officials continually cite Marsy's Law to explain limited release of details related to police shootings. According to The Marshall Project, law enforcement agencies in several states have increasingly used victims' rights statutes to shield the identities of officers involved in deadly use-of-force incidents, a trend that has been criticized by advocates of open governance and transparency."
310,Killing of Ta'Kiya Young,Shooting,,"Young was sitting in her car outside a Kroger grocery store around 6:30 pm when a store staff member approached nearby police and alleged that Young had stolen alcohol from the store. Young was sitting in a four-door Lexus sedan that did not have a license plate and was parked in a handicap spot. Two police officers approached the car and demanded several times that Young exit the vehicle. One officer stood near the driver's door and another stood in front of the vehicle, with his gun drawn. Young remained behind the wheel and told the officers that she did not steal anything.After about one minute Young slowly began driving away while one of the officers was near the vehicle. The officer then fired one shot through the windshield, killing Young and her unborn baby. Authorities state that both officers offered assistance to Young after the shooting, with emergency services called within ten seconds of the shooting and a trauma kit was used on Young under two minutes of the shooting. A passerby who was an emergency room doctor supported the police with medical assistance until paramedics arrived and transported Young to the hospital where she and her unborn child died from her injuries.Body camera footage of the interaction between Young and the officers has been released. An attorney representing Young's family said a witness saw Young put down bottles of alcohol as she left the store. In early September, newly released video footage appeared to show Young putting multiple bottles of alcohol into her purse and a tote bag while out of sight of the cash register. She and the two other women then allegedly left the store without paying. The tote bag full of liquor is apparently visible in police bodycam footage as they drag her injured body from the car."
311,Killing of Ta'Kiya Young,Aftermath,,"The Blendon Township police use-of-force policy provides that officers should try to move away from an approaching vehicle instead of firing their weapons. Both of the officers were placed on paid administrative leave after the shooting, although the officer who did not fire his gun has since returned to duty. The Ohio Bureau of Criminal Investigation is investigating the shooting.On October 4, 2023, it was announced that Young and her unborn child's deaths had been ruled as homicides, and that the case will be presented to a grand jury to decide whether to bring charges to the officer who fired at Young."
312,Killing of Ta'Kiya Young,Response,,"Attorneys for Young's family demanded a swift indictment of the officer responsible for the killings of Young and her unborn daughter. Young's family held a candlelight vigil the day after the shooting outside of her grandmother's home to honor Young and her unborn baby.Blendon Township Chief of Police John Belford called the shooting a ""tragic situation for everyone"". A police news release claimed that the officer near the front of the vehicle was ""a victim of attempted vehicular assault"" and the other, who had a part of his arm in the driver's side window, was ""a victim of misdemeanor assault"". In response to the incident, a member of the Fraternal Order of Police said that ""A weapon is not just a firearm. A weapon is also a 2,000-pound vehicle that somebody puts into gear and is driving at you."""
313,2023 bankruptcy of the Baltimore Catholic Archdiocese,Summary,,"On 29 September 2023 the Roman Catholic Archdiocese of Baltimore in the US filed for bankruptcy to evade large anticipated financial losses due to civil actions beginning 1 October. This was partly precipitated by the 1969 homicide of Sister Catherine Cesnik.


"
314,2023 MTV Video Music Awards,Summary,,"The 2023 MTV Video Music Awards were held at the Prudential Center in Newark, New Jersey on September 12, 2023. The show was hosted by Nicki Minaj, marking her second consecutive year in the role. This was the first time the ceremony was held on a Tuesday. A new award category, ""Show of the Summer"", was awarded this year through fan votes. Shakira was honored with the Michael Jackson Video Vanguard Award. Diddy was honored with the Global Icon Award. Taylor Swift was the most nominated and awarded artist of the night, winning nine out of her eleven nominations. 
The 2023 edition was the most watched MTV Video Music Awards show on the flagship linear network to air since 2020. It was the highest-rated edition of the show in three years among the 18-49 demographic with a 1.03 (compared to a 0.58 in 2020), as well as among adults 18-34, where the show saw its best rating since 2019, up 118% to a 1.14. Viewership across all networks was comparable to the prior year with 3.92 million viewers."
315,2023 MTV Video Music Awards,Performances,Pre-show,"The performers for the pre-show were announced on September 6, 2023."
316,2023 MTV Video Music Awards,Performances,Main show,"The first round of performers for the main show were announced on August 22, 2023. The second round of performers for the main show were announced on August 31, 2023. Olivia Rodrigo was announced as a main show performer on September 7, 2023. The third round of performers for the main show were announced on September 8, 2023. Cardi B and Megan Thee Stallion were announced as main show performers on September 9, 2023. Performers for the Hip Hop 50th Anniversary Medley were announced on September 11, 2023. The musical performances featured artists from United States, Barbados, Brazil, Canada, Colombia, Mexico, Italy, South Korea, and Trinidad and Tobago."
317,2023 MTV Video Music Awards,Performances,Rankings,"Following the show, performances were ranked by various music and news outlets."
318,2023 MTV Video Music Awards,Presenters,Pre-show,"Kevan Kenney – presented Push Performance of the Year
Saweetie and Dometi Pongo – presented Video for Good"
319,2023 MTV Video Music Awards,Presenters,Main show,"NSYNC – presented Best Pop
Dove Cameron – announced the finalists for Best New Artist & later presented the award
Charli D'Amelio & Dixie D'Amelio – presented Best K-Pop
A Boogie wit da Hoodie – introduced Kaliii & the Extended Play Stage
Nelly Furtado & Timbaland – presented Song of the Year
Madelyn Cline – introduced Anitta
Ashanti & French Montana – presented Best R&B
Ice Spice – introduced Doja Cat
Wyclef Jean – introduced Shakira & presented the Video Vanguard Award
Billy Porter – introduced Nicki Minaj
Fat Joe & Thalía – presented Best Latin
Emily Ratajkowski – introduced Karol G
Coco Jones – introduced Reneé Rapp
Mary J. Blige – introduced Diddy & presented the Global Icon Award
Shenseea – introduced Peso Pluma
Tiffany Haddish – presented Best Afrobeats
Saweetie – introduced Stray Kids
Anuel AA – introduced The Warning
Jared Leto & Shannon Leto – presented Best Hip-Hop
GloRilla – introduced Metro Boomin, Swae Lee, Nav, Future & A Boogie wit da Hoodie
Rita Ora – presented Best Collaboration
Bebe Rexha – introduced Fall Out Boy
Nicki Minaj (emcee) – presented Best Direction
Sabrina Carpenter – introduced Tomorrow X Together & Anitta
Chloe x Halle – introduced Måneskin
Reneé Rapp – introduced Kelsea Ballerini
Metro Boomin, Swae Lee, Nav & A Boogie wit da Hoodie – introduced the Hip Hop 50th Anniversary Medley
LL Cool J – presented Video of the Year"
320,2023 MTV Video Music Awards,Winners and nominees,Voted categories,"The winners of the following categories were chosen by fan votes. The first round of voting known as the ""General Voting Period"" began on August 8 at 12 p.m. ET, for the categories which nominees were announced on the same day and concluded on September 1 at 6 p.m. ET, except for Best New Artist, which concluded on September 12 at 10 p.m. ET. ""Instagram Story Voting"" began on September 3 at 11 a.m. ET and concluded on September 12 at 11 a.m. ET.Winners are listed first and highlighted in bold."
321,2023 MTV Video Music Awards,Winners and nominees,Professional categories,The winners of the following categories were chosen by industry professionals.
322,2023 MTV Video Music Awards,Special awards,,"The following awards have special significance and are not necessarily awarded annually. Shakira was announced as the recipient of the Michael Jackson Video Vanguard Award on August 28, becoming the first South American artist to receive the highest honor. Diddy was announced as the recipient of the Global Icon Award on September 2."
323,2023 MTV Video Music Awards,Voting system,General voting period,"The first round of voting was known as the ""General Voting Period"" and included most of the voted categories (15 out of 19 categories).
It began on August 8 at 12 p.m. ET, and concluded on September 1 at 6 p.m. ET, except for Best New Artist, which concluded on September 12 at 10 p.m. ET.
Each voter can vote up to 10 times per category per day through Vote.MTV.com.
Voters should have signed in to their MTV.com Account, as its necessary to limit their votes across devices."
324,2023 MTV Video Music Awards,Voting system,Instagram Story voting,"The second round of voting is known as the ""Instagram Story Voting"" and includes Group of the Year, Show of the Summer, Album of the Year, and Song of Summer.
It was held through MTV's Instagram stories from September 3 at 11 a.m. ET to September 12 at 11 a.m. ET.
Voters can vote by clicking on their favorite nominees on Instagram polling stickers."
325,2023 MTV Video Music Awards,Ratings,,"The 2023 MTV Video Music Awards received 3.9 million viewers across all networks, including 865,000 viewers on MTV, a 37% jump in comparison to the previous year for the flagship network and comparable total network viewers from 2022. The show marked the event's highest MTV rating among the 18-49 demographic since 2019, with a 1.03."
326,2023 MTV Video Music Awards,Related events,MTV VMA Fantasy,"To celebrate the 2023 MTV Video Music Awards, Meta Fantasy Games launched ""MTV VMA Fantasy"" on Facebook. It had four rounds of binary question groups. It began on August 31, 2023 and concluded on September 12, 2023."
327,2023 MTV Video Music Awards,Related events,VMA Block Party,"To celebrate the 2023 MTV Video Music Awards, MTV hosted a free public event titled the ""VMA Block Party"" for the first time at Oculus Plaza in Lower Manhattan on September 9, 2023, from 12 p.m. to 4 p.m. EDT. MTV stated the event would be held annually for future shows. Alexander Stewart, Amaarae, Jenna Raine, and DJ CherishTheLuv were announced as the performers for the event on September 8, 2023."
328,2023 MTV Video Music Awards,Notes,,"

"
329,2023 People's Choice Country Awards,Summary,,"The 2023 People's Choice Country Awards, the inaugural ceremony, was held on September 28, 2023 at the Grand Ole Opry in Nashville, Tennessee. It was hosted by country music group Little Big Town. The ceremony was broadcast live on NBC and was made available to stream on Peacock."
330,2023 People's Choice Country Awards,Background,,"On March 9, 2023, NBCUniversal announced that they would be premiering a spin-off of the long-running People’s Choice Awards, honoring country music's most popular artists, with the winners chosen entirely by the fans, though several honorary awards would also be awarded.On July 18, 2023, it was announced that country music legend, Toby Keith, would receive the inaugural Country Icon award. The award was presented to Keith by fellow Oklahoman, Blake Shelton. On September 8, 2023 it was announced that country music legend, Wynonna Judd, would receive the inaugural Country Champion award, the award celebrated her decades-long career and efforts around philanthropy and activism."
